iteration,loss
3500,0.39882534742355347
3501,0.15519902110099792
3502,0.2850164771080017
3503,0.23501287400722504
3504,0.153360053896904
3505,0.21936708688735962
3506,0.17365922033786774
3507,0.230370432138443
3508,0.21294353902339935
3509,0.1710277795791626
3510,0.24129223823547363
3511,0.13889655470848083
3512,0.13318119943141937
3513,0.2628552317619324
3514,0.1208716630935669
3515,0.2790414094924927
3516,0.15068839490413666
3517,0.21410313248634338
3518,0.1643141508102417
3519,0.20018266141414642
3520,0.1753978729248047
3521,0.09868885576725006
3522,0.20799729228019714
3523,0.12897804379463196
3524,0.18859480321407318
3525,0.22877147793769836
3526,0.18696747720241547
3527,0.24108579754829407
3528,0.1949773132801056
3529,0.20261965692043304
3530,0.18626073002815247
3531,0.3152039349079132
3532,0.2812938988208771
3533,0.23796795308589935
3534,0.11228436231613159
3535,0.3271876871585846
3536,0.14073653519153595
3537,0.1852201521396637
3538,0.11775925010442734
3539,0.24157889187335968
3540,0.23239658772945404
3541,0.2461717426776886
3542,0.25574296712875366
3543,0.2080773562192917
3544,0.25012919306755066
3545,0.25190842151641846
3546,0.3312586545944214
3547,0.2340201437473297
3548,0.17299094796180725
3549,0.18487700819969177
3550,0.2650338411331177
3551,0.23535510897636414
3552,0.28827205300331116
3553,0.07409024983644485
3554,0.12540292739868164
3555,0.11757792532444
3556,0.2108851969242096
3557,0.19206929206848145
3558,0.0948963388800621
3559,0.017117256298661232
3560,0.19110997021198273
3561,0.1890169084072113
3562,0.2904910445213318
3563,0.29002389311790466
3564,0.18543754518032074
3565,0.3480983078479767
3566,0.15173709392547607
3567,0.18068508803844452
3568,0.17112404108047485
3569,0.21883361041545868
3570,0.21466612815856934
3571,0.23200419545173645
3572,0.23100201785564423
3573,0.13247928023338318
3574,0.2653280198574066
3575,0.2523861825466156
3576,0.3660818934440613
3577,0.13375374674797058
3578,0.1964608132839203
3579,0.23881573975086212
3580,0.2680175006389618
3581,0.24207472801208496
3582,0.45666593313217163
3583,0.3267045319080353
3584,0.0921163558959961
3585,0.261399507522583
3586,0.1711236536502838
3587,0.1622806191444397
3588,0.22842836380004883
3589,0.13376948237419128
3590,0.08038263022899628
3591,0.23701386153697968
3592,0.20416857302188873
3593,0.16301967203617096
3594,0.2039123773574829
3595,0.19791121780872345
3596,0.018158916383981705
3597,0.31391996145248413
3598,0.15895791351795197
3599,0.13985058665275574
3600,0.23023603856563568
3601,0.15625035762786865
3602,0.2539404630661011
3603,0.2812633812427521
3604,0.09265290945768356
3605,0.11802336573600769
3606,0.1228272020816803
3607,0.230014368891716
3608,0.18787123262882233
3609,0.22199416160583496
3610,0.10309015214443207
3611,0.2163865715265274
3612,0.2305714339017868
3613,0.2209913432598114
3614,0.2543293237686157
3615,0.2034391462802887
3616,0.20322377979755402
3617,0.14518821239471436
3618,0.22823688387870789
3619,0.22916726768016815
3620,0.3949369490146637
3621,0.13040971755981445
3622,0.15795978903770447
3623,0.23859015107154846
3624,0.2980019748210907
3625,0.21718676388263702
3626,0.34322404861450195
3627,0.1779675930738449
3628,0.2305840253829956
3629,0.1974140852689743
3630,0.28182467818260193
3631,0.2640671133995056
3632,0.2434152066707611
3633,0.2393457591533661
3634,0.1940128058195114
3635,0.2122551053762436
3636,0.15352573990821838
3637,0.17452764511108398
3638,0.30701181292533875
3639,0.10403524339199066
3640,0.18287420272827148
3641,0.19278043508529663
3642,0.33576303720474243
3643,0.13273122906684875
3644,0.24017870426177979
3645,0.25270214676856995
3646,0.30499526858329773
3647,0.31097498536109924
3648,0.3523545563220978
3649,0.39996543526649475
3650,0.2822188138961792
3651,0.1912432163953781
3652,0.12213467806577682
3653,0.2051173746585846
3654,0.07754161953926086
3655,0.24799002707004547
3656,0.26292678713798523
3657,0.1118641272187233
3658,0.22312061488628387
3659,0.24355079233646393
3660,0.35412177443504333
3661,0.2355409860610962
3662,0.21107421815395355
3663,0.27679193019866943
3664,0.16829319298267365
3665,0.2508406937122345
3666,0.27753138542175293
3667,0.27453190088272095
3668,0.2143324762582779
3669,0.14395178854465485
3670,0.19782155752182007
3671,0.15583594143390656
3672,0.17688149213790894
3673,0.26435935497283936
3674,0.18605874478816986
3675,0.0565868504345417
3676,0.16111598908901215
3677,0.32715141773223877
3678,0.2242244929075241
3679,0.15643467009067535
3680,0.23118409514427185
3681,0.2524699866771698
3682,0.18270795047283173
3683,0.20340760052204132
3684,0.17378979921340942
3685,0.2989075183868408
3686,0.10505103319883347
3687,0.2636665403842926
3688,0.26416733860969543
3689,0.1296975165605545
3690,0.19057054817676544
3691,0.011921084485948086
3692,0.2525108754634857
3693,0.2897944748401642
3694,0.25767552852630615
3695,0.248824343085289
3696,0.11726096272468567
3697,0.2243928760290146
3698,0.33816102147102356
3699,0.08376891911029816
3700,0.11937098205089569
3701,0.25830960273742676
3702,0.15577828884124756
3703,0.15232376754283905
3704,0.11976434290409088
3705,0.059891678392887115
3706,0.30928197503089905
3707,0.2186167687177658
3708,0.2071378231048584
3709,0.12023111432790756
3710,0.27848464250564575
3711,0.2890453636646271
3712,0.3158532977104187
3713,0.2892850339412689
3714,0.11634840816259384
3715,0.18301428854465485
3716,0.20366588234901428
3717,0.2437790036201477
3718,0.2333567887544632
3719,0.21598653495311737
3720,0.16157256066799164
3721,0.11731438338756561
3722,0.22370068728923798
3723,0.22606420516967773
3724,0.2650146782398224
3725,0.16863203048706055
3726,0.18617910146713257
3727,0.21277306973934174
3728,0.1972837895154953
3729,0.27780839800834656
3730,0.2588805556297302
3731,0.3592171370983124
3732,0.07754939794540405
3733,0.2576292157173157
3734,0.4798927307128906
3735,0.14898860454559326
3736,0.26596441864967346
